Series,Contract No.,BuySell,Contract,Price,Premium Amount,Brokerage Fee,VAT,WH,Charge Amount
S50U18,BU-00803,B,5,1126.50,0.00,85.50,5.99,0.00,91.49
S50U18,SH-00806,S,11,1131.10,0.00,188.10,13.17,0.00,201.27
S50U18P1100,SE-00859,S,3,2.20,1320.00,105.30,7.37,0.00,112.67
S50U18P1100,SE-00860,S,7,2.20,3080.00,245.70,17.20,0.00,262.90
S50U18P1100,SH-00861,B,1,5.80,360.00,35.10,2.46,0.00,37.56
S50U18C1150,SE-00866,S,2,4.00,1600.00,70.20,4.91,0.00,75.11
S50U18C1175,SE-00867,B,2,10.00,1600.00,70.20,4.91,0.00,75.11
S50U18P1075,BU-00952,B,1,19.00,-3800.00,35.10,2.46,0.00,37.56
S50M18,SH-00886,S,21,1105.20,0.00,422.10,29.55,0.00,451.65
S50M18,SH-00887,S,5,1105.20,0.00,100.50,7.04,0.00,107.54
S50M18,SH-00888,S,1,1105.20,0.00,20.10,1.41,0.00,21.51
S50M18,SH-00889,S,1,1105.20,0.00,20.10,1.41,0.00,21.51
S50M18,SH-00890,S,1,1105.20,0.00,20.10,1.41,0.00,21.51
S50M18,SH-00891,S,1,1105.20,0.00,20.10,1.41,0.00,21.51
S50M18,BH-00892,B,6,1107.10,0.00,120.60,8.44,0.00,129.04
S50M18,BH-00893,B,1,1107.10,0.00,20.10,1.41,0.00,21.51
S50M18,BH-00894,B,5,1107.10,0.00,100.50,7.04,0.00,107.54
S50M18,BH-00895,B,5,1107.10,0.00,100.50,7.04,0.00,107.54
S50M18,BH-00896,B,1,1107.10,0.00,20.10,1.41,0.00,21.51
S50M18,BH-00897,B,1,1107.10,0.00,20.10,1.41,0.00,21.51
S50M18,BH-00898,B,11,1107.10,0.00,221.10,15.48,0.00,236.58
S50M18,SH-00899,S,8,1107.10,0.00,160.80,11.26,0.00,172.06
S50M18,SH-00900,S,10,1107.10,0.00,201.00,14.07,0.00,215.07
S50M18,SH-00901,S,3,1107.10,0.00,60.30,4.22,0.00,64.52
S50M18,SH-00902,S,6,1107.10,0.00,120.60,8.44,0.00,129.04
S50M18,SH-00903,S,1,1107.10,0.00,20.10,1.41,0.00,21.51
S50M18,SH-00904,S,2,1107.10,0.00,40.20,2.81,0.00,43.01
S50M18,BH-00905,B,28,1106.30,0.00,562.80,39.40,0.00,602.20
S50M18,BH-00906,B,2,1106.30,0.00,40.20,2.81,0.00,43.01
S50M18,SH-00907,S,6,1105.80,0.00,120.60,8.44,0.00,129.04
S50M18,SH-00908,S,1,1105.80,0.00,20.10,1.41,0.00,21.51
S50M18,SH-00909,S,4,1105.80,0.00,80.40,5.63,0.00,86.03
S50M18,SH-00910,S,7,1105.80,0.00,140.70,9.85,0.00,150.55
S50M18,SH-00911,S,4,1105.30,0.00,80.40,5.63,0.00,86.03
S50M18,SH-00912,S,1,1105.30,0.00,20.10,1.41,0.00,21.51
S50M18,SH-00913,S,5,1105.30,0.00,100.50,7.04,0.00,107.54
S50M18,SH-00914,S,1,1105.30,0.00,20.10,1.41,0.00,21.51
S50M18,SH-00915,S,1,1105.30,0.00,20.10,1.41,0.00,21.51
S50M18,SH-00916,S,11,1105.50,0.00,221.10,15.48,0.00,236.58
S50M18,SH-00917,S,1,1105.50,0.00,20.10,1.41,0.00,21.51
S50M18,SH-00918,S,3,1105.50,0.00,60.30,4.22,0.00,64.52
S50M18,SH-00919,S,1,1105.50,0.00,20.10,1.41,0.00,21.51
S50M18,SH-00920,S,15,1105.50,0.00,301.50,21.11,0.00,322.61
S50M18,SH-00921,S,9,1105.50,0.00,180.90,12.66,0.00,193.56
S50M18,BH-00922,B,15,1105.80,0.00,301.50,21.11,0.00,322.61
S50M18,BH-00923,B,1,1105.80,0.00,20.10,1.41,0.00,21.51
S50M18,BH-00924,B,5,1105.80,0.00,100.50,7.04,0.00,107.54
S50M18,BH-00925,B,2,1105.80,0.00,40.20,2.81,0.00,43.01
S50M18,BH-00926,B,2,1105.80,0.00,40.20,2.81,0.00,43.01
S50M18,BH-00927,B,3,1105.80,0.00,60.30,4.22,0.00,64.52
S50M18,BH-00928,B,2,1105.80,0.00,40.20,2.81,0.00,43.01
S50M18,BH-00929,B,3,1105.80,0.00,60.30,4.22,0.00,64.52
S50M18,BH-00930,B,5,1105.80,0.00,100.50,7.04,0.00,107.54
S50M18,BH-00931,B,5,1105.80,0.00,100.50,7.04,0.00,107.54
S50M18,BH-00932,B,5,1105.80,0.00,100.50,7.04,0.00,107.54
S50M18,BH-00933,B,1,1105.80,0.00,20.10,1.41,0.00,21.51
S50M18,BH-00934,B,1,1105.80,0.00,20.10,1.41,0.00,21.51
S50M18,SH-00935,S,2,1107.50,0.00,40.20,2.81,0.00,43.01
S50M18,SH-00936,S,4,1107.50,0.00,80.40,5.63,0.00,86.03
S50M18,SH-00937,S,1,1107.50,0.00,20.10,1.41,0.00,21.51
S50M18,SH-00938,S,3,1107.50,0.00,60.30,4.13,0.00,64.43
S50M18P1125,BH-00939,B,1,24.90,-4980.00,35.10,2.46,0.00,37.56
S50M18P1125,BH-00940,B,5,25.00,-25000.00,175.50,12.29,0.00,187.79
S50U18P1075,SE-00941,S,5,15.80,15800.00,175.50,12.29,0.00,187.79
S50U18P1075,SE-00942,S,15,17.40,52200.00,526.50,36.86,0.00,563.36
S50U18P1075,BU-00943,B,1,18.70,-3740.00,35.10,2.46,0.00,37.56
S50U18P1075,BU-00944,B,1,18.70,-3740.00,35.10,2.46,0.00,37.56
S50U18P1075,BU-00945,B,1,18.80,-3760.00,35.10,2.46,0.00,37.56
S50U18P1075,BU-00946,B,2,18.80,-7520.00,70.20,4.91,0.00,75.11
S50U18P1075,BU-00947,B,4,18.80,-15040.00,140.40,9.83,0.00,150.23
S50U18P1075,BU-00948,B,1,18.80,-3760.00,35.10,2.46,0.00,37.56
S50U18P1075,BU-00949,B,2,19.00,-7600.00,70.20,4.91,0.00,75.11
S50U18P1075,BU-00950,B,2,19.00,-7600.00,70.20,4.91,0.00,75.11
S50U18P1075,BU-00951,B,1,19.00,-3800.00,35.10,2.46,0.00,37.56
S50U18P1075,BU-00952,B,1,19.00,-3800.00,35.10,2.46,0.00,37.56
S50U18P1075,BU-00953,B,1,19.00,-3800.00,35.10,2.46,0.00,37.56
S50U18P1075,BU-00954,B,3,19.00,-11400.00,105.30,7.37,0.00,112.67
S50U18P1100,SH-00955,S,5,35.00,35000.00,175.50,12.26,0.00,187.76
S50U18,BU-00803,B,5,1126.50,0.00,85.50,5.99,0.00,91.49
S50U18,BU-00804,B,1,1126.50,0.00,17.10,1.20,0.00,18.30
S50U18,BU-00805,B,4,1126.50,0.00,68.40,4.79,0.00,73.19
S50U18,SH-00806,S,11,1131.10,0.00,188.10,13.17,0.00,201.27
S50U18,SH-00807,S,2,1131.00,0.00,34.20,2.39,0.00,36.59
S50U18,SH-00808,S,5,1131.00,0.00,85.50,5.99,0.00,91.49
S50U18,SH-00809,S,1,1131.00,0.00,17.10,1.20,0.00,18.30
S50U18,SH-00810,S,1,1131.00,0.00,17.10,1.20,0.00,18.30
S50U18,BU-00811,B,5,1133.30,0.00,85.50,5.99,0.00,91.49
S50U18,BU-00812,B,1,1133.30,0.00,17.10,1.20,0.00,18.30
S50U18,BU-00813,B,14,1133.30,0.00,239.40,16.76,0.00,256.16
S50U18,SH-00814,S,1,1133.20,0.00,17.10,1.20,0.00,18.30
S50U18,SH-00815,S,5,1133.20,0.00,85.50,5.99,0.00,91.49
S50U18,SH-00816,S,8,1133.20,0.00,136.80,9.58,0.00,146.38
S50U18,SH-00817,S,1,1133.20,0.00,17.10,1.20,0.00,18.30
S50U18,SH-00818,S,1,1133.20,0.00,17.10,1.20,0.00,18.30
S50U18,SH-00819,S,1,1133.20,0.00,17.10,1.20,0.00,18.30
S50U18,SH-00820,S,1,1133.20,0.00,17.10,1.20,0.00,18.30
S50U18,SH-00821,S,1,1133.20,0.00,17.10,1.20,0.00,18.30
S50U18,SH-00822,S,1,1133.20,0.00,17.10,1.20,0.00,18.30
S50U18,BU-00823,B,12,1133.30,0.00,205.20,14.36,0.00,219.56
S50U18,BU-00824,B,8,1133.30,0.00,136.80,9.58,0.00,146.38
S50U18,SH-00825,S,20,1133.50,0.00,342.00,23.94,0.00,365.94
S50U18,BU-00826,B,5,1133.60,0.00,85.50,5.99,0.00,91.49
S50U18,BU-00827,B,6,1133.60,0.00,102.60,7.18,0.00,109.78
S50U18,BU-00828,B,1,1133.60,0.00,17.10,1.20,0.00,18.30
S50U18,BU-00829,B,5,1133.60,0.00,85.50,5.99,0.00,91.49
S50U18,BU-00830,B,1,1133.60,0.00,17.10,1.20,0.00,18.30
S50U18,BU-00831,B,1,1133.60,0.00,17.10,1.20,0.00,18.30
S50U18,BU-00832,B,1,1133.60,0.00,17.10,1.20,0.00,18.30
S50U18,SH-00833,S,4,1141.00,0.00,68.40,4.79,0.00,73.19
S50U18,SH-00834,S,7,1141.00,0.00,119.70,8.38,0.00,128.08
S50U18,SH-00835,S,1,1141.00,0.00,17.10,1.20,0.00,18.30
S50U18,SH-00836,S,1,1141.00,0.00,17.10,1.20,0.00,18.30
S50U18,SH-00837,S,1,1141.00,0.00,17.10,1.20,0.00,18.30
S50U18,SH-00838,S,6,1141.00,0.00,102.60,7.18,0.00,109.78
S50U18,BU-00839,B,20,1141.00,0.00,342.00,23.94,0.00,365.94
S50U18,SH-00840,S,5,1142.00,0.00,85.50,5.99,0.00,91.49
S50U18,SH-00841,S,15,1142.00,0.00,256.50,17.96,0.00,274.46
S50U18,BU-00842,B,20,1142.50,0.00,342.00,23.94,0.00,365.94
S50U18,BU-00843,B,6,1148.00,0.00,102.60,7.18,0.00,109.78
S50U18,BU-00844,B,1,1148.00,0.00,17.10,1.20,0.00,18.30
S50U18,BU-00845,B,13,1148.00,0.00,222.30,15.56,0.00,237.86
S50U18,SE-00846,S,1,1152.80,0.00,17.10,1.20,0.00,18.30
S50U18,SE-00847,S,1,1152.80,0.00,17.10,1.20,0.00,18.30
S50Z18,SH-00868,S,8,1131.60,0.00,136.80,9.58,0.00,146.38
S50Z18,SH-00869,S,1,1131.60,0.00,17.10,1.20,0.00,18.30
S50Z18,SH-00870,S,1,1131.60,0.00,17.10,1.20,0.00,18.30
S50Z18,SH-00871,S,10,1131.60,0.00,171.00,11.97,0.00,182.97
S50Z18,BH-00872,B,20,1131.90,0.00,342.00,23.82,0.00,365.82
USDZ18,BU-00873,B,10,32.50,0.00,101.00,7.07,0.00,108.07
S50U18C1100,BH-00848,B,3,40.00,-24000.00,105.30,7.37,0.00,112.67
S50U18C1100,BH-00849,B,1,43.00,-8600.00,35.10,2.46,0.00,37.56
S50U18C1100,BH-00850,B,6,43.00,-51600.00,210.60,14.74,0.00,225.34
S50U18C1100,BU-00851,B,1,43.40,-8680.00,35.10,2.46,0.00,37.56
S50U18C1100,BH-00852,B,1,45.00,-9000.00,35.10,2.46,0.00,37.56
S50U18C1150,BH-00853,B,3,9.00,-5400.00,105.30,7.37,0.00,112.67
S50U18C1150,BH-00854,B,3,9.00,-5400.00,105.30,7.37,0.00,112.67
S50U18C1175,BH-00855,B,1,3.10,-620.00,35.10,2.46,0.00,37.56
S50U18C1175,BH-00856,B,19,3.20,-12160.00,666.90,46.68,0.00,713.58
S50U18C1200,BH-00857,B,4,0.60,-480.00,140.40,9.83,0.00,150.23
S50U18C1200,BH-00858,B,1,0.60,-120.00,35.10,2.46,0.00,37.56
S50U18P1100,SE-00859,S,3,2.20,1320.00,105.30,7.37,0.00,112.67
S50U18P1100,SE-00860,S,7,2.20,3080.00,245.70,17.20,0.00,262.90
S50U18P1100,SH-00861,S,1,1.80,360.00,35.10,2.46,0.00,37.56
S50U18P1125,SE-00862,S,2,5.70,2280.00,70.20,4.91,0.00,75.11
S50U18P1125,SE-00863,S,2,5.50,2200.00,70.20,4.91,0.00,75.11
S50U18P1125,SE-00864,S,5,4.60,4600.00,175.50,12.29,0.00,187.79
S50U18P1125,SE-00865,S,4,4.00,3200.00,140.40,9.83,0.00,150.23
S50U18P1125,SE-00866,S,2,4.00,1600.00,70.20,4.91,0.00,75.11
S50U18P1125,SE-00867,S,2,4.00,1600.00,70.20,4.91,0.00,75.11
